Sector,Sub Sector,Org Name,Item Name,2019,2020,2021,2022,2023
Banks,Banks,All Banks,A. Total equity (A1 to A3),"1,364,882,095.00","1,542,471,502.00","1,693,053,631.64","1,942,563,437.20","2,399,107,268.00"
Banks,Banks,All Banks,1. Share capital/head office capital account,"440,102,973.00","443,125,521.00","454,993,845.64","513,925,691.00","559,639,283.00"
Banks,Banks,All Banks,2. Reserves,"423,737,211.00","464,096,656.00","516,310,823.00","582,883,156.20","702,351,118.00"
Banks,Banks,All Banks,3. Un appropriated profit,"501,041,911.00","635,249,325.00","721,748,963.00","845,754,590.00","1,137,116,867.00"
Banks,Banks,All Banks,4. Others,"283,981,209.00","326,931,269.00","261,210,946.00","143,189,832.00","374,192,281.00"
Banks,Banks,All Banks,B. Total liabilities (B1 to B4),"20,343,732,431.00","23,262,554,001.00","28,124,525,224.00","33,643,918,439.00","42,876,077,924.00"
Banks,Banks,All Banks,1. Bills payable,"231,727,564.00","304,638,919.00","327,614,665.00","436,766,225.00","416,883,511.00"
Banks,Banks,All Banks,2. Borrowings from financial institutions,"2,917,689,207.00","3,212,250,218.00","4,661,564,795.00","7,799,376,985.00","11,216,686,603.00"
Banks,Banks,All Banks,3. Deposits and other accounts,"15,965,531,637.00","18,534,453,266.00","21,764,657,301.00","23,467,928,670.00","28,839,089,350.00"
Banks,Banks,All Banks,4. Other/misc. liabilities,"1,228,784,023.00","1,211,211,598.00","1,370,688,463.00","1,939,846,559.00","2,403,418,460.00"
Banks,Banks,All Banks,C. Total assets (C1 to C4 + C8 to C10),"21,992,595,735.00","25,131,956,771.85","30,078,789,802.00","35,729,671,708.00","45,649,377,472.70"
Banks,Banks,All Banks,1. Cash and balances with treasury banks,"1,978,891,670.00","2,009,367,216.00","2,308,647,073.00","1,820,711,559.00","2,875,233,035.00"
Banks,Banks,All Banks,2. Balances with other banks,"214,101,491.00","273,111,017.00","243,351,301.00","256,328,082.00","368,469,486.00"
Banks,Banks,All Banks,3. Lending to financial institutions,"963,979,157.00","1,053,126,363.00","1,086,591,200.00","1,121,963,472.00","1,685,953,004.00"
Banks,Banks,All Banks,4. Investments,"8,945,472,309.00","11,929,323,130.00","14,468,302,917.00","18,276,093,021.00","25,342,286,608.00"
Banks,Banks,All Banks,5. Gross advances,"8,877,379,489.00","9,041,261,834.00","10,945,596,853.00","12,671,038,372.00","13,086,751,142.00"
Banks,Banks,All Banks,6. Advances-non-performing/classified,"756,177,405.00","821,468,118.00","847,876,926.60","905,417,633.31","970,088,338.00"
Banks,Banks,All Banks,7. Provision against advances,"622,533,720.00","729,907,712.00","765,080,017.00","833,499,006.00","918,439,034.30"
Banks,Banks,All Banks,8. Advances net of provision (C5-C7),"8,254,845,769.00","8,311,354,122.00","10,180,516,836.00","11,837,539,366.00","12,168,312,107.70"
Banks,Banks,All Banks,9. Fixed assets,"552,365,770.00","587,100,927.00","663,947,223.00","779,178,204.00","916,246,946.00"
Banks,Banks,All Banks,10. Other/misc. assets,"1,082,939,569.00","968,573,996.85","1,127,433,252.00","1,637,858,004.00","2,292,876,286.00"
Banks,Banks,All Banks,D. Profit & loss account,,,,,
